artist,title,spotify_uri
ARIA VEGA,AY MAMA (mi tiburón),7yHZ66udwjeUafGohI7T46
Yeison Jimenez,Aventurero,0ftcn4ddKESqQMA784Ebc0
Willie Colón,Gitana,4VTb5wB46sZDsfL8XgroGt
Tito Rojas,Siempre Sere,4ZGk5h0sIfeunWEKzXEoHr
Yandel,Encantadora,7LABrQFfRYcZUqUwng0Heb
Yiyo Sarante,Corazon de Acero,21nc3O8OncUv1jjSrC1ML2
GeezyDee,El Peor Hombre Del Mundo,0TBFzXKWtoF7Lwh0LKFt8f
Yiyo Sarante,Manos de Tijera,5ds1Hh3lo4JUF2vflqyayK
Frankie Ruiz,Deseándote,0FsXZAMf6NACvNJ2LI6ySp
"Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete",Guaro (Remix),5sMHuOIvtsSuFZafTcF19Q
"Zion & Lennox, J Balvin",Otra Vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq
"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,34vXRJ2bCSFiZKQzVUYVOb
Yeison Jimenez,Te Voy a Olvidar,6jbDhMUR3Hc3yVPT2tEVxY
"W Sound, Myke Towers, Ovy On The Drums",5 Estrellas - W Sound 23,7hYlC6s0SXSIwtFlW6NgjT
"Romeo Santos, Prince Royce",Dardos,5SudOD9R1Of6CsJVWZy6CQ
Grupo Niche,Sin Sentimientos,7xDwU3I38ReireLvv79h63
"Yeison Jimenez, Pasabordo",Hasta La Madre,1nDvFYTsaQwxt5CTk7LJ5E
Clarent,BIENVENIDA,7zwgHkTKv86nMOREN5k1hx
Yeison Jimenez,Tu Mal Sabor,1LNLFgc99bgCWPAaJ9zUQi
"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,2beS6dD5rovBxSA1zYoSHR
Beéle,frente al mar,1i1n7hUzCDkXGFqIJSSzom
"Maluma, Yeison Jimenez",Con el Corazón,1xTWu5aArww0QtXqX2ScBI
"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,7hynhxDoDpgMIV12JuVtNa
