artist,title,language,spotify_uri
陳粒,小半,unknown,3QxWTqyIT4O9bokIZlNDpo
BABYMONSTER,WE GO UP,unknown,1tonXoW6dcb7GGNpec3PTl
"Jay Chou, Lara Liang",珊瑚海,unknown,3Qj9Fy8BPbWmICTiNkuqB7
Pets Tseng,一個人想著一個人,unknown,3n3zzFH7zzO0gJNaw4RKSm
ILLIT,NOT CUTE ANYMORE,unknown,1k0JAiH11gHL9dc5dfQjQr
张远,看着我的眼睛说,unknown,7d6eShN6yVeR4Y2Md9uCA4
Stefanie Sun,開始懂了,unknown,68tZwwRuo9ip5gRQFG1XWF
David Tao,愛我還是他,unknown,13bw75oRjvxMv9VGIeM32i
LBI利比,Jumping Machine (跳楼机),unknown,1XZE0InCx3SdCnLpVsPpZl
Bruno Mars,Risk It All,unknown,5y2ijHECwFYWqcAHKTZgzD
JOLIN,布拉格廣場 - JOLIN Version/ 星宇航空布拉格開航主題曲,unknown,0HnESxAFR5lTHioAlI7wo3
EggPlantEgg,浪流連,unknown,1IS0WFyiVpwsATeSzjEvpI
Sam Lee,痴心絕對,unknown,0D0n4q2o54VTOmDJdL6ikY
Djo,End of Beginning,unknown,3qhlB30KknSejmIvZZLjOD
"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,unknown,1DwscornXpj8fmOmYVlqZt
EggPlantEgg,愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),unknown,6m2I6ZyWRkxjBrrLVQILfl
"Firdhaus, DIOR 大穎",在加納共和國離婚,unknown,6GyUt7yJ0sOktc5HjvVnFh
icyball 冰球樂團,不在乎,unknown,1t2mpO9GpLjRHDDX6SFWRn
Jay Chou,楓,unknown,1pALOIA4ytESmhl7Fxjdic
"马也_Crabbit, Cole先生",海屿你,unknown,6UO9nrihAk6sFGvVHDVTz8
艾薇 Ivy,天使借的溫柔,unknown,3ITUmRLMjxf3ZqCPSDD2gk
Taylor Swift,The Fate of Ophelia,unknown,53iuhJlwXhSER5J2IYYv1W
LNGSHOT,Moonwalkin',unknown,46V2ciN6F5bxjQWityNhkY
"ROSÉ, Bruno Mars",APT.,unknown,4wJ5Qq0jBN4ajy7ouZIV1c
G.E.M.,多遠都要在一起,unknown,55d0jw269HE9pbOt5ntCo8
Joker Xue,演员,unknown,5Sib99jpYybZAicUMETb3h
张远,嘉賓,unknown,5jAmIkIpskwu2hRz2YaEHi
CORTIS,FaSHioN,unknown,4ecdsGz3Hg6TKPwQ0ZOdJz
Taylor Swift,Opalite,unknown,3yWuTOYDztXjZxdE2cIRUa
A-Mei Chang,人質,unknown,6OAUhxFZzaRHHC8XiuIkvb
sombr,back to friends,unknown,7qjZnBKE73H4Oxkopwulqe
BABYMONSTER,DRIP,unknown,1MUZitHRpmng5NevrvNx4T
Richael Liu,两三句,unknown,0BkBM5rY934yzHViRhd8Em
Olivia Dean,So Easy (To Fall In Love),unknown,6sGIMrtIzQjdzNndVxe397
"Jay Chou, A-Mei Chang",不該,unknown,5miH0BWhRVTvHAwmnoeyXH
Sam Lee,手放開,unknown,2Dd9EXYXI2NNrLG61OtWQv
Kenshi Yonezu,IRIS OUT,unknown,59hVbgr8rfYkDbHfr8RcGI
CORTIS,"Mention Me - From The Movie ""GOAT""",unknown,3f0OEJd7mlPNhmH3fUOrqy
F.I.R.,月牙灣,unknown,1b5IRT3iraxjHOsKZx93sW
"Lady Gaga, Bruno Mars",Die With A Smile,unknown,7so0lgd0zP2Sbgs2d7a1SZ
ILLIT,Magnetic,unknown,1aKvZDoLGkNMxoRYgkckZG
PIZZALI,做我的初戀,unknown,4flk8ZgDFry6o2t0SdKsnB
ROSÉ,number one girl,unknown,1lcBt7LoEikqYmhUoa2cez
A-Lin,給我一個理由忘記,unknown,2DcmVSLAg0ZzfOQxDshZHY
David Tao,就是愛妳,unknown,73eCSQ1DxQbaOnzy8PhKx3
Joker Xue,其实,unknown,6Mmdzst5fLkrKjhdkGhLpe
DIOR 大穎,人的這一生,unknown,2Jox8DFhnUpJZJWLsVAsAR
Hearts2Hearts,FOCUS,unknown,6jYiHr12NVKLzn0X7K8aSK
Silence Wang,像晴天像雨天（电视剧《难哄》心动曲）,unknown,1zFuSla4RQ5qAJwDIQYixW
Amazing Show,偷偷愛,unknown,0L7R4dmkwk46DEZgqx1fF7
"Disney, Shakira",Zoo,unknown,3vJIaiTIHxHhYafTSPNiH4
Fish Leong,慢冷,unknown,3NNDJfWMGHuNpvHWTImmlW
WeiBird,"如果可以 - 電影""月老""主題曲",unknown,72OVnXDzugvrCU25lMi9au
Ronghao Li,"不將就 (電影""何以笙簫默""片尾曲)",unknown,5DH8nF7aWoXXg5Sm3gjCWD
aespa,Rich Man,unknown,1sUjTLLCJzcxC15GUBrOlg
Bruno Mars,Risk It All,unknown,5y2ijHECwFYWqcAHKTZgzD
"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,unknown,1DwscornXpj8fmOmYVlqZt
Ella Langley,Choosin' Texas,unknown,65DbTqJKhbwqYbZ1Okr0rc
Bruno Mars,I Just Might,unknown,6f68Ac5tt5BQOpwr0BV9oN
