rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
98,"spotify:track:5q2JbCNi4FcnglgPfxcV65","Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin","Sola (Remix)","Spiff TV, LLC / Real Hasta La Muerte, Inc.",12,115,145,"549442"
99,"spotify:track:6sHBvzRsuGunQTfCk18KXi","Juan Magán","Bailando por Ahi","Columbia",68,109,87,"546694"
100,"spotify:track:4MUrUT38U98olfnyzMBCzm","Bad Bunny","KLOuFRENS","Rimas Entertainment LLC.",12,85,61,"544558"
101,"spotify:track:7JqZxa2Ibtf0lpJ5ANYSwH","JC Reyes, Alba Moreno","DA LA LUZ","JC Reyes",56,97,16,"541594"
102,"spotify:track:24UStI5AYA7g5ufFDh3LH0","Fito y Fitipaldis","Por la boca vive el pez","DRO/Spain",56,144,152,"540703"
103,"spotify:track:2TOsEYW3J1miYhmEeI9yBW","Omar Courtz, Eladio Carrion","MOONLIGHT","Rimas Entertainment LLC.",57,57,2,"533905"
104,"spotify:track:1DwscornXpj8fmOmYVlqZt","PinkPantheress, Zara Larsson","Stateside + Zara Larsson","Warner Records",104,-1,1,"533008"
105,"spotify:track:5IuFotpjpllXzv7eOLKeqb","JC Reyes, Hades66","BARRIO FINO","JC Reyes",69,92,9,"530438"
106,"spotify:track:1o4xkdBe0RjSf2u6VXi4OI","Yan Block, Panda Black","444","SONAR LLC.",29,106,83,"530171"
107,"spotify:track:0Sr7ssScx54yxdM2ols7nW","Omar Courtz, De La Rose","Q U E V A S H A C E R H O Y ?","Mr.305 Records / Rimas Entertainment LLC.",1,104,76,"529000"
108,"spotify:track:1ouj0AkMXny8V1su2tuoci","Lucho RK, La Pantera","TOCATE SOLA","Lucho RK, La Pantera",24,127,14,"522751"
109,"spotify:track:4WXVp5dzCDDaQjr4Ueukbm","Dei V","Te Capie","Encore Recordings",65,114,13,"521773"
110,"spotify:track:4ppQIsBpwNRKjOPPBZTgd0","Bad Gyal","Da Me","Interscope Records / Universal Music Latino",8,110,39,"520403"
111,"spotify:track:2x59pa3xDf8hHZ4N3f5fGQ","Extremoduro","Si te vas...","WM Spain",7,126,15,"518769"
112,"spotify:track:2dK99lWPkBVwNen6gK1AtI","Chayanne","Bailando Bachata","Sony Music Latin",49,124,108,"514786"
113,"spotify:track:61tC2eD62xjmkEX9FGEad7","Omar Courtz","UNA NOTi","Mr.305 Records / Rimas Entertainment LLC.",20,107,37,"514429"
114,"spotify:track:52eJOGfsKEEkHrfZt6Kl3p","Omar Courtz","SKY","Rimas Entertainment LLC.",73,73,2,"513584"
115,"spotify:track:5KbBVSj6AJZ5662fO8EYFh","Marshmello, Manuel Turizo","El Merengue","Sony Music Latin",4,117,157,"512847"
116,"spotify:track:2RkZ5LkEzeHGRsmDqKwmaJ","Alex Warren","Ordinary","Atlantic Records",48,121,49,"510983"
117,"spotify:track:2vSJKKmOEJQA5tr082p5XX","Siloé","Todos los Besos","La Niebla Records",74,116,35,"509610"
118,"spotify:track:10lwU4asYs565RmEkPWHn5","8belial, yyy891, JOHNNYFUU","YSL","8BELIAL",33,120,10,"505648"
119,"spotify:track:6Ab2trdJulkRRhaJ9zVGQa","Ya Ice Dilan, Rey Tony, Helabusador, JipMusic Global, Dj Honda","Dichavate","JipMusic Global [Powered by Planet Distribution]",119,-1,1,"505531"
120,"spotify:track:2kQ1OvmMzs1xdlH020aJJh","Quevedo, Aitana","GRAN VÍA","2024 DQE Productions Distribuido por RIMAS Entertainment",1,105,67,"503299"
121,"spotify:track:1dnKyTHMBWzbYZ2LDXBefu","JC Reyes, Dei V","FLIPA","JC Reyes",2,98,51,"497779"
122,"spotify:track:4VPl3WGYKxQG8EVis7uLDt","Manuel Turizo","Por un Pendejo no se llora","La Industria/Sony Music Latin",52,112,7,"497410"
123,"spotify:track:3xiNRrrVROKlHrflHGNTfG","Fito y Fitipaldis","Antes de que cuente diez","WM Spain",82,125,46,"490237"
124,"spotify:track:2SPBFiD8iITb8CKJGz1TEQ","Yan Block","111","SONAR LLC.",9,123,54,"489166"
125,"spotify:track:7ns16ylM6sbxo9ZWIwyE5d","Danny Ocean, Kapo","Imagínate","Atlantic Records",5,111,65,"488458"
126,"spotify:track:0eVborSuxUeSg0meWYd9dZ","Fito y Fitipaldis","Soldadito marinero","DRO/EastWest Spain",56,132,396,"483880"
127,"spotify:track:6VNXmo59yDYgcwLS17UNAW","Bad Bunny, Los Pleneros de la Cresta","CAFé CON RON","Rimas Entertainment LLC.",16,95,28,"481228"
128,"spotify:track:4nJJCRYru4QQakCiUA155f","Mr Plata, El Americano 4KT","Las Muñequitas","Universal Music Colombia S.A.S.",128,141,2,"477145"
129,"spotify:track:06s3QtMJVXw1AJX3UfvZG1","Anuel AA, Bad Bunny","Hasta Que Dios Diga","2020 Real Hasta La Muerte, LLC",2,108,155,"475270"
130,"spotify:track:47rUM6vGXo8gBGpeG5TuU7","Melendi","Caminando por la vida","WM Spain",59,183,227,"471947"
131,"spotify:track:47sQ0h1xhlDWJ3nHbwYPrg","Hades66","YO QUIERO","Sonar LLC.",131,-1,1,"468825"
132,"spotify:track:1CTTIrl42flqn1WYUoxl0H","JC Reyes, De La Rose, MC Menor JP","NINFO","JC Reyes",4,122,53,"467862"
133,"spotify:track:10KB4HkYIpNOd0QhyohMre","La La Love You, Samuraï","El Principio de algo","Subterfuge Records distributed by Altafonte",66,129,115,"467480"
134,"spotify:track:0VKkyBKCXyR99navhVRqcP","Zion & Lennox","La player (Bandolera)","WEA Latina",14,128,82,"466159"
135,"spotify:track:19FOoq7R0ULz8bamEpOprK","Cristina Lora","2 PUÑALAITAS (de Andalucía)","Sony Music Entertainment España, S.L.",135,-1,1,"465854"
136,"spotify:track:0uqt3MShCD4uYCIRNm6d4o","Quevedo","Columbia","Rimas Entertainment LLC.",1,138,139,"462287"
137,"spotify:track:2R0RvdGFAOCznsB85KN0f4","Camin, Rvfv","Golfista","WM Spain",137,-1,1,"461613"
138,"spotify:track:6dWJciH0aK0TWiDvVmMUX6","Omar Courtz","SUSU","Rimas Entertainment LLC.",67,67,2,"458089"
139,"spotify:track:1VB4sadHjFcFklHcZuoROi","Estopa","Como Camarón","Ariola",42,139,270,"453956"
