rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
154,"spotify:track:0UHB9METy4VCXNgkcGqHqS","Rihanna","Kiss It Better","Roc Nation / Rihanna",154,-1,1,"60126"
155,"spotify:track:7ogpGbKc4Io6NCU6ydxXwZ","Alex Warren","FEVER DREAM","Atlantic Records",155,-1,1,"59874"
156,"spotify:track:2tqF9MPNdYdJU70U0ULO23","Jay Chou","告白氣球","Universal Music Taiwan (JVR)",28,150,476,"59794"
157,"spotify:track:1qRV1dKLOfH1s00b9J2LUQ","Zara Larsson","Midnight Sun","Sommer House/Epic",157,172,7,"59643"
158,"spotify:track:3t5edAHbyFEW67wFApp7EO","小阿七","从前说","一寸光年",21,142,210,"59639"
159,"spotify:track:0Sq6JK9kyC4MQa3KrJj5CB","Bruno Mars","Nothing Left","Atlantic Records",159,-1,1,"59443"
160,"spotify:track:5cU1O9P0EDA0rPkPDykhIm","Eric Chou","怎麼了","Sony Music Entertainment",6,125,373,"59304"
161,"spotify:track:0TFTAtCYhp2tQ9KcJIZb55","sombr","undressed","Warner Records",18,159,47,"58809"
162,"spotify:track:6hkOqJ5mE093AQf2lbZnsG","Katy Perry","The One That Got Away","Capitol Records",152,152,3,"58712"
163,"spotify:track:567e29TDzLwZwfDuEpGTwo","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,185,221,"58675"
164,"spotify:track:7xoUc6faLbCqZO6fQEYprd","Ariana Grande","One Last Time","Universal Records",91,132,169,"58435"
165,"spotify:track:72OVnXDzugvrCU25lMi9au","WeiBird","如果可以 - 電影""月老""主題曲","Sony Music Entertainment",3,141,222,"58389"
166,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","Dhruv","double take","Little Worry/RCA Records",2,168,213,"58044"
167,"spotify:track:09CtPGIpYB4BrO8qb1RGsF","Justin Bieber","Sorry","RBMG/Def Jam",69,129,39,"58032"
168,"spotify:track:0lYBSQXN6rCTvUZvg9S0lU","DJ Snake, Justin Bieber","Let Me Love You","DJ Snake Def Jam",4,145,82,"57719"
169,"spotify:track:1aKvZDoLGkNMxoRYgkckZG","ILLIT","Magnetic","BELIFT LAB",1,130,102,"57698"
170,"spotify:track:5FVbvttjEvQ8r2BgUcJgNg","BTS","Life Goes On","BIGHIT MUSIC",1,164,68,"57452"
171,"spotify:track:1u8c2t2Cy7UBoG4ArRcF5g","Taylor Swift","Blank Space","Taylor Swift",9,178,214,"56859"
172,"spotify:track:75JFxkI2RXiU7L9VXzMkle","Coldplay","The Scientist","Parlophone Records Limited",4,175,178,"56757"
173,"spotify:track:10VuSw48iPN2UK2xX9Y6P0","Jay Chou","青花瓷","Universal Music Taiwan (JVR)",105,169,11,"56666"
174,"spotify:track:3vJIaiTIHxHhYafTSPNiH4","Disney, Shakira","Zoo","Walt Disney Records",26,147,13,"56598"
175,"spotify:track:3p4hRhMcb6ch8OLtATMaLw","Cigarettes After Sex","Cry","Partisan Records",50,149,76,"56577"
176,"spotify:track:36vmaZyO0iAE6FZ7287fg2","Olivia Dean","Dive","PLG - Capitol",129,156,15,"56419"
177,"spotify:track:08PdFBcXzpkn1cWNgmKqhn","Laufey","Promise","Laufey",177,-1,1,"56337"
178,"spotify:track:0PV4VQCmE6Ujssr1bnswdF","Bruno Mars","Something Serious","Atlantic Records",178,-1,1,"56328"
179,"spotify:track:4iWXBvFiGanzt0ntGnMALN","en王翊恩","我走后 (深情版)","新鲜制造",86,167,29,"56258"
180,"spotify:track:0kN8xEmgMW9mh7UmDYHlJP","Bruno Mars","Versace on the Floor","Atlantic Records",10,-1,86,"55792"
181,"spotify:track:51rfRCiUSvxXlCSCfIztBy","Gracie Abrams","I Love You, I'm Sorry","Gracie Abrams, under exclusive license to Interscope Records",13,160,89,"55144"
182,"spotify:track:1Q7EgiMOuwDcB0PJC6AzON","Daniel Caesar, H.E.R.","Best Part (feat. H.E.R.)","HV Recordings",87,113,131,"54982"
183,"spotify:track:70LcF31zb1H0PyJoS1Sx1r","Radiohead","Creep","XL Recordings",170,194,16,"54816"
184,"spotify:track:6OWWZtNQORY1McaZmOrwhc","CORTIS","GO!","Republic Records – CORTIS",20,161,26,"54636"
185,"spotify:track:2RdEC8Ff83WkX7kDVCHseE","Charli xcx","party 4 u","Atlantic Records UK",13,176,48,"54429"
186,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",14,173,105,"54353"
187,"spotify:track:2mlNgAeIBnL78ZriXgrRHz","Joji","Glimpse of Us","88rising Music",1,181,114,"54274"
188,"spotify:track:76FZM38RC8XaAjJ77CVTNe","Ariana Grande","Into You","Universal Records",82,184,32,"54214"
189,"spotify:track:1pALOIA4ytESmhl7Fxjdic","Jay Chou","楓","Universal Music Taiwan (JVR)",114,171,26,"54175"
190,"spotify:track:3xJK8ywApYVEYIDhymYMC6","Stefanie Sun","遇見","WM Taiwan",119,-1,14,"54148"
191,"spotify:track:0dS2u2UFd88TIzDDaZDLvS","d4vd","Here With Me","Darkroom/Interscope Records",5,193,177,"53906"
192,"spotify:track:2mdEsXPu8ZmkHRRtAdC09e","Lana Del Rey","Cinnamon Girl","Polydor Records",186,195,6,"53900"
193,"spotify:track:13CwOTXUgBugeBByE9oIWb","Nadhif Basalamah","kota ini tak sama tanpamu","After School",193,-1,1,"53808"
194,"spotify:track:7fAdinC2UTc0Y9GiKrkTtu","卢卢快闭嘴","字字句句","鲸鱼向海",22,177,141,"53645"
195,"spotify:track:3rUGC1vUpkDG9CZFHMur1t","Tate McRae","greedy","RCA Records Label",1,144,129,"53559"
196,"spotify:track:37xebnhvUyM8VyyDDeo65d","LNGSHOT","Never Let Go","MORE VISION",41,123,7,"53497"
197,"spotify:track:2VKGO4DNyUK5UxCQB3b3DF","ATEEZ","Adrenaline","KQ Entertainment",96,122,4,"53359"
198,"spotify:track:4MagTPnkPiDuIa4P8GtW1b","Lauv","I Like Me Better","Lauv",15,170,404,"53326"
199,"spotify:track:50kpGaPAhYJ3sGmk6vplg0","Justin Bieber","Love Yourself","RBMG/Def Jam",54,183,178,"53258"
200,"spotify:track:2nMeu6UenVvwUktBCpLMK9","Lana Del Rey","Young And Beautiful","Polydor Records",166,197,11,"53182"
