rank,artist,title,region,spotify_uri,dominant_emotion,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
181,Farruko,Cositas Que Haciamos,Colombia,5BrVJGkFTBPAMRl5hIE9A7,null,null,null,null,null,null,null,null,null,null,null
182,"Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee","MIU MIU (feat. GeezyDee, CARABIN3)",Colombia,1btsXTZnL2wVSW8oDWvjMM,null,null,null,null,null,null,null,null,null,null,null
183,Willie Colón,Talento De Televisión,Colombia,3fRIuTih8bzc0vtY9fHhvF,null,null,null,null,null,null,null,null,null,null,null
184,"Don Omar, Plan B",Hooka,Colombia,0BenZn1xELuxhb7Pjwyjxv,null,null,null,null,null,null,null,null,null,null,null
185,Blessd,Instagram,Colombia,0EFxJw34fK8DWlTxx9qYeW,null,null,null,null,null,null,null,null,null,null,null
186,Juliana,El AchanTAdo,Colombia,3fr52NaaVxb2UxPNxDtaQx,null,null,null,null,null,null,null,null,null,null,null
187,"J Alvarez, Ñejo & Dalmata","Sexo, Sudor y Calor",Colombia,4eDjNcAyIuJFhQ31Fvvoc1,null,null,null,null,null,null,null,null,null,null,null
189,"Victor Valverde, JR Torres",El Mayor De Los Ranas,Colombia,6v5qt5KPQHJt5ckWuhDGtM,null,null,null,null,null,null,null,null,null,null,null
190,Luis Enrique,Yo No Sé Mañana,Colombia,5jJTqI5yteOyLWoDTjiHCO,null,null,null,null,null,null,null,null,null,null,null
192,Fuerza Regida,TU SANCHO,Colombia,6eLQXa6uk2EW8drsiKbABZ,null,null,null,null,null,null,null,null,null,null,null
193,"GeezyDee, Kris R.",Parche Tranqui,Colombia,2ROj8GoI45RQouYomaLDTm,null,null,null,null,null,null,null,null,null,null,null
194,Jose Luis Carrascal,Como Duele El Frio,Colombia,2QcUxndr7skMMHLElnl4Bo,null,null,null,null,null,null,null,null,null,null,null
195,Fresto Music,Me Hace Daño Verte,Colombia,4dyzxv5SsdBtunuU3qj7Ti,null,null,null,null,null,null,null,null,null,null,null
196,David Pabon,Aquel Viejo Motel,Colombia,286NP8kXWzx2uHb5tr7TGv,null,null,null,null,null,null,null,null,null,null,null
197,Frankie Ruiz,Desnúdate Mujer,Colombia,65nL3OLuHHfEYxKkHMQ1fL,null,null,null,null,null,null,null,null,null,null,null
198,"Grupo Firme, Gerardo Coronel",Qué Onda Perdida,Colombia,6IV5Y1eWaQZ1jV5apkUMS4,null,null,null,null,null,null,null,null,null,null,null
199,Romeo Santos,Eres Mía,Colombia,6I86RF3odBlcuZA9Vfjzeq,null,null,null,null,null,null,null,null,null,null,null
35,Bella Kay,iloveitiloveitiloveit,Global,5IMpnpD0tQVcqWlVIgtAtV,null,null,null,null,null,null,null,null,null,null,null
