rank,artist,title,region,spotify_uri,dominant_emotion,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,dominant_emotion_emotive,neutral_score
46,Bad Bunny,VOY A LLeVARTE PA PR,Colombia,59D4DOkspUbWyMmbAPQkxZ,neutral,0.0835,0.005,0.0049,0.0176,0.0607,0.0019,0.0046,0.0199,0.0028,0.0059,0.003,0.004,0.0009,0.0191,0.0041,0.0002,0.0004,0.0062,0.0071,0.0013,0.0047,0.0009,0.0066,0.0007,0.0002,0.0019,0.0031,0.6124,admiration,0.6124
47,Arcángel,Hace Mucho Tiempo,Colombia,0a6ogDrZBvYgDjILgsQVaJ,admiration,0.5372,0.0018,0.0019,0.0062,0.104,0.0074,0.0012,0.005,0.5025,0.0048,0.0031,0.0026,0.0005,0.0345,0.0009,0.004,0.0008,0.0141,0.0835,0.0007,0.0182,0.0047,0.0064,0.0014,0.0009,0.0035,0.0021,0.044,admiration,0.044
48,"Feid, ATL Jacob",LUNA,Colombia,7bywjHOc0wSjGGbj04XbVi,sadness,0.0056,0.0014,0.0165,0.0377,0.0124,0.016,0.0281,0.0467,0.1984,0.3369,0.0151,0.0076,0.0045,0.0049,0.0098,0.0006,0.0149,0.0051,0.1763,0.0256,0.0118,0.0008,0.022,0.0024,0.0274,0.5883,0.0095,0.049,sadness,0.049
50,Kris R.,MIL D AURA,Colombia,0LvxvoeJmdhkxRIC4orlJ3,amusement,0.0133,0.4213,0.0057,0.0231,0.0597,0.0215,0.0017,0.0031,0.0619,0.0105,0.0164,0.0016,0.0007,0.0115,0.0018,0.0005,0.0006,0.0859,0.0403,0.0013,0.0132,0.0013,0.0078,0.0021,0.0007,0.0051,0.001,0.1942,amusement,0.1942
51,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,Colombia,7sRXb5IgYWwVv1DaavHSNs,love,0.0457,0.4378,0.005,0.0185,0.0458,0.0036,0.0021,0.006,0.01,0.0041,0.0031,0.0021,0.001,0.0148,0.0006,0.0007,0.0006,0.1032,0.4481,0.0006,0.0081,0.001,0.0094,0.0012,0.0009,0.0034,0.0025,0.0883,love,0.0883
52,Plan B,Es un Secreto,Colombia,3KZCP2StVGdWkOKyRZNWA4,love,0.0652,0.0007,0.0017,0.0034,0.1462,0.0107,0.0011,0.0021,0.1321,0.0025,0.0026,0.0012,0.0003,0.0102,0.0006,0.0017,0.0004,0.0085,0.5592,0.0003,0.0255,0.0014,0.0054,0.0008,0.0006,0.0014,0.0008,0.1543,love,0.1543
53,Yeison Jimenez,MLP,Colombia,4DAMvNqHt0s8zJr6JwOoye,caring,0.0872,0.0009,0.0104,0.0189,0.1403,0.56,0.0285,0.1187,0.0116,0.0767,0.0309,0.0025,0.0014,0.0037,0.0071,0.0077,0.0131,0.007,0.2743,0.0196,0.0617,0.0018,0.0084,0.0072,0.0297,0.2391,0.0015,0.028,caring,0.028
54,"Blessd, Los Money Makers, Prodmonja",URUS BLUE,Colombia,4sTnItbNUAcS5KDG6vTA5B,love,0.0973,0.3556,0.0037,0.0063,0.0774,0.0116,0.0108,0.0328,0.0064,0.0021,0.005,0.0012,0.0008,0.0179,0.0013,0.0013,0.0006,0.15,0.7281,0.0015,0.0155,0.0008,0.0066,0.0014,0.0012,0.0027,0.0019,0.0428,love,0.0428
55,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Colombia,0JoHqmlqE0W0i9prt6kcHR,neutral,0.0046,0.0045,0.0359,0.1485,0.0533,0.0043,0.2202,0.0058,0.0048,0.0364,0.0171,0.007,0.003,0.0047,0.0033,0.0005,0.0013,0.0155,0.1978,0.0087,0.0046,0.0012,0.0275,0.0021,0.0042,0.0145,0.0026,0.3015,confusion,0.3015
56,"Danny Ocean, Kapo",Imagínate,Colombia,7ns16ylM6sbxo9ZWIwyE5d,curiosity,0.0324,0.003,0.0015,0.0039,0.0819,0.0083,0.099,0.3434,0.1111,0.0017,0.0027,0.0008,0.0004,0.0473,0.0011,0.0009,0.0004,0.0306,0.0849,0.0008,0.0174,0.0008,0.0046,0.0012,0.0005,0.0012,0.0038,0.2292,curiosity,0.2292
57,"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,Colombia,2Mgur7BKnpr7OG3izSNFTA,amusement,0.0087,0.5308,0.0136,0.0289,0.0221,0.0062,0.0052,0.0496,0.0039,0.0026,0.004,0.0039,0.0012,0.0056,0.0008,0.0005,0.0004,0.0451,0.1611,0.0005,0.0068,0.0004,0.0047,0.0007,0.0007,0.002,0.0011,0.2758,amusement,0.2758
58,"CARABIN3, SVNTI",MUSA,Colombia,0QuHK1VvIZ1Kt2GfqRrdVo,amusement,0.0031,0.6534,0.006,0.03,0.026,0.002,0.001,0.0012,0.0017,0.0026,0.0048,0.0026,0.0015,0.0019,0.0006,0.0003,0.0003,0.0222,0.0026,0.0004,0.0045,0.0004,0.0084,0.0007,0.0004,0.0014,0.0006,0.4107,amusement,0.4107
59,Arcángel,Me Prefieres A Mi,Colombia,3GhmL9fuM8jwGcHCFbeo3v,neutral,0.0039,0.3338,0.0096,0.0455,0.0288,0.0063,0.0468,0.1352,0.0025,0.0035,0.008,0.0014,0.001,0.0023,0.0006,0.0003,0.0004,0.0331,0.1776,0.0008,0.0082,0.0002,0.008,0.0006,0.0011,0.003,0.0023,0.3856,amusement,0.3856
60,"Blessd, GeezyDee",DIOMEDEZ,Colombia,6qDTm2QbRSLlSmaUSJE6bF,amusement,0.0222,0.3995,0.0266,0.0592,0.031,0.2795,0.0106,0.0263,0.0103,0.0288,0.0387,0.0106,0.009,0.0044,0.0021,0.0041,0.0021,0.0227,0.2549,0.0028,0.0123,0.0008,0.0097,0.0025,0.0074,0.021,0.0022,0.0669,amusement,0.0669
61,Bad Bunny,NUEVAYoL,Colombia,5TFD2bmFKGhoCRbX61nXY5,approval,0.2444,0.0019,0.0013,0.0042,0.4054,0.0155,0.0238,0.1218,0.0034,0.0016,0.0049,0.0007,0.0003,0.0515,0.0031,0.0007,0.0004,0.0195,0.0081,0.002,0.0215,0.0023,0.0096,0.0035,0.0002,0.0011,0.0041,0.183,approval,0.183
62,"Kris R., ROA",PASIÓN Y SEXO,Colombia,4pjkZyNZnOJEPpBmzOqTC2,love,0.1995,0.3497,0.0039,0.0068,0.0918,0.0426,0.0021,0.0063,0.0518,0.0021,0.0033,0.0015,0.0005,0.0127,0.0008,0.0034,0.0006,0.1077,0.5865,0.0006,0.0324,0.0017,0.0041,0.0016,0.001,0.0023,0.0008,0.0333,love,0.0333
63,Kapo,NO CRY,Colombia,4YM3IYESNKXWYHbPXvMMVD,love,0.0065,0.002,0.0173,0.0177,0.0433,0.1031,0.0268,0.0204,0.2168,0.0536,0.037,0.0082,0.0017,0.0062,0.0124,0.0036,0.0062,0.0107,0.9108,0.0131,0.0755,0.001,0.014,0.0025,0.0174,0.1108,0.0036,0.0191,love,0.0191
64,Rels B,TU VAS SIN (fav),Colombia,6uiQ0DqbXTBc8tl0AUKZkR,love,0.0131,0.0011,0.0038,0.0063,0.1269,0.0173,0.0012,0.0019,0.1273,0.0033,0.0036,0.0018,0.0004,0.0099,0.0011,0.0009,0.0005,0.0121,0.7147,0.0007,0.0179,0.0011,0.0055,0.001,0.0009,0.0023,0.0008,0.1523,love,0.1523
65,"Blessd, J Alvarez",FANÁTICO,Colombia,0e3d2UZRjtvviXWWMRYGQo,love,0.2803,0.081,0.0025,0.0063,0.0808,0.0091,0.0012,0.0025,0.0636,0.0028,0.0037,0.0012,0.0004,0.01,0.0004,0.0014,0.0005,0.0639,0.6457,0.0003,0.0195,0.0021,0.0049,0.0009,0.0007,0.0018,0.0007,0.0619,love,0.0619
66,"Blessd, Ovy On The Drums",Mírame,Colombia,2btNsI4OvcVl7SAHQQDHFB,love,0.0043,0.2946,0.0154,0.0275,0.0287,0.0476,0.0061,0.0111,0.0573,0.0697,0.0448,0.0043,0.0022,0.0019,0.0033,0.0006,0.003,0.0257,0.3269,0.0043,0.283,0.0007,0.0154,0.002,0.0231,0.1086,0.001,0.0403,love,0.0403
