title,artist,region,language,topic,topic_probability,dominant_emotion,emotion_anger,emotion_neutral,emotion_joy,emotion_fear,emotion_disgust,emotion_sadness,emotion_surprise
WHERE IS MY HUSBAND!,RAYE,Global,en,-1,,fear,0.0,0.0,0.0,0.3088373616337776,0.0,0.0,0.23078563064336777
Raindance (feat. Tems),"Dave, Tems",Global,pt,1,,joy,0.0,0.0,0.34078216552734375,0.07976489514112473,0.0,0.0,0.0
Tití Me Preguntó,Bad Bunny,Global,es,12,,neutral,0.0,0.29594669739405316,0.0,0.0,0.0,0.265002965927124,0.0
Tití Me Preguntó,Bad Bunny,Global,es,12,,neutral,0.0,0.29594669739405316,0.0,0.0,0.0,0.265002965927124,0.0
Lush Life,Zara Larsson,Global,en,0,,sadness,0.20214885473251343,0.0,0.0,0.0,0.0,0.46192439397176105,0.0
Lush Life,Zara Larsson,Global,en,0,,sadness,0.20214885473251343,0.0,0.0,0.0,0.0,0.46192439397176105,0.0
Ordinary,Alex Warren,Global,en,0,,anger,0.29649028182029724,0.0,0.0,0.0,0.0,0.0,0.24476021528244019
Ordinary,Alex Warren,Global,en,0,,anger,0.29649028182029724,0.0,0.0,0.0,0.0,0.0,0.24476021528244019
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Global,en,13,,joy,0.0,0.0,0.4776703119277954,0.0,0.0,0.4214116632938385,0.0
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Global,en,13,,joy,0.0,0.0,0.4776703119277954,0.0,0.0,0.4214116632938385,0.0
Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Global,en,13,,joy,0.0,0.0,0.4776703119277954,0.0,0.0,0.4214116632938385,0.0
EoO,Bad Bunny,Global,es,25,,neutral,0.0,0.48366352915763855,0.0,0.0,0.0,0.0,0.0
EoO,Bad Bunny,Global,es,25,,neutral,0.0,0.48366352915763855,0.0,0.0,0.0,0.0,0.0
EoO,Bad Bunny,Global,es,25,,neutral,0.0,0.48366352915763855,0.0,0.0,0.0,0.0,0.0
Die With A Smile,"Lady Gaga, Bruno Mars",Global,en,3,,sadness,0.0,0.0,0.2144453078508377,0.0,0.0,0.38056811690330505,0.0
Die With A Smile,"Lady Gaga, Bruno Mars",Global,en,3,,sadness,0.0,0.0,0.2144453078508377,0.0,0.0,0.38056811690330505,0.0
Die With A Smile,"Lady Gaga, Bruno Mars",Global,en,3,,sadness,0.0,0.0,0.2144453078508377,0.0,0.0,0.38056811690330505,0.0
FEVER DREAM,Alex Warren,Global,en,22,,sadness,0.0,0.0,0.0,0.34746432304382324,0.0,0.45831558108329773,0.0
FEVER DREAM,Alex Warren,Global,en,22,,sadness,0.0,0.0,0.0,0.34746432304382324,0.0,0.45831558108329773,0.0
Die On This Hill,SIENNA SPIRO,Global,en,21,,anger,0.4942407011985779,0.0,0.48665106296539307,0.0,0.0,0.0,0.0
Die On This Hill,SIENNA SPIRO,Global,en,21,,anger,0.4942407011985779,0.0,0.48665106296539307,0.0,0.0,0.0,0.0
GO,BLACKPINK,Global,en,9,,sadness,0.21073012053966522,0.0,0.0,0.0,0.0,0.4865480065345764,0.0
GO,BLACKPINK,Global,en,9,,sadness,0.21073012053966522,0.0,0.0,0.0,0.0,0.4865480065345764,0.0
Iris,The Goo Goo Dolls,Global,en,16,,sadness,0.0,0.0,0.0,0.0,0.0,0.6561304926872253,0.0
Iris,The Goo Goo Dolls,Global,en,16,,sadness,0.0,0.0,0.0,0.0,0.0,0.6561304926872253,0.0
Homewrecker,sombr,Global,en,4,,sadness,0.0,0.0,0.0,0.0,0.0,0.7105556130409241,0.0
Homewrecker,sombr,Global,en,4,,sadness,0.0,0.0,0.0,0.0,0.0,0.7105556130409241,0.0
BIRDS OF A FEATHER,Billie Eilish,Global,en,3,,surprise,0.0,0.0,0.0,0.0,0.0,0.45399045944213867,0.49312734603881836
BIRDS OF A FEATHER,Billie Eilish,Global,en,3,,surprise,0.0,0.0,0.0,0.0,0.0,0.45399045944213867,0.49312734603881836
Every Breath You Take,The Police,Global,en,8,,anger,0.3941066265106201,0.29441853364308673,0.0,0.0,0.0,0.0,0.0
Every Breath You Take,The Police,Global,en,8,,anger,0.3941066265106201,0.29441853364308673,0.0,0.0,0.0,0.0,0.0
Love Me Not,Ravyn Lenae,Global,en,4,,sadness,0.0,0.0,0.0,0.0,0.0,0.8598646521568298,0.0
Love Me Not,Ravyn Lenae,Global,en,4,,sadness,0.0,0.0,0.0,0.0,0.0,0.8598646521568298,0.0
I Thought I Saw Your Face Today,She & Him,Global,en,20,,sadness,0.0,0.0,0.0,0.0,0.0,0.4025292694568634,0.37009626626968384
I Thought I Saw Your Face Today,She & Him,Global,en,20,,sadness,0.0,0.0,0.0,0.0,0.0,0.4025292694568634,0.37009626626968384
Manchild,Sabrina Carpenter,Global,en,15,,anger,0.3371105492115021,0.0,0.0,0.0,0.0,0.0,0.23219959437847137
Manchild,Sabrina Carpenter,Global,en,15,,anger,0.3371105492115021,0.0,0.0,0.0,0.0,0.0,0.23219959437847137
VOY A LLeVARTE PA PR,Bad Bunny,Global,es,12,,neutral,0.10704679290453593,0.23838509122530618,0.0,0.0,0.0,0.0,0.0
VOY A LLeVARTE PA PR,Bad Bunny,Global,es,12,,neutral,0.10704679290453593,0.23838509122530618,0.0,0.0,0.0,0.0,0.0
VOY A LLeVARTE PA PR,Bad Bunny,Global,es,12,,neutral,0.10704679290453593,0.23838509122530618,0.0,0.0,0.0,0.0,0.0
12 to 12,sombr,Global,en,0,,sadness,0.0,0.0,0.0,0.2123883217573166,0.0,0.4937702715396881,0.0
12 to 12,sombr,Global,en,0,,sadness,0.0,0.0,0.0,0.2123883217573166,0.0,0.4937702715396881,0.0
Sailor Song,Gigi Perez,Global,en,5,,anger,0.7488568425178528,0.0,0.0,0.0,0.0,0.0,0.0
